2022-01-20 10:02:44,822 [1] INFO  SapientMiddleware.Program

2022-01-20 10:02:44,853 [1] INFO  SapientMiddleware.Program SapientDataAgent - Version 2.7.4.0
2022-01-20 10:02:44,884 [1] INFO  SapientMiddleware.Program Start Init Schemas
2022-01-20 10:02:45,134 [1] INFO  SapientMiddleware.Program End Init Schemas
2022-01-20 10:02:45,150 [1] INFO  SapientMiddleware.Program screenWidth = 1920 num windows = 8
2022-01-20 10:02:45,150 [1] INFO  SapientMiddleware.Program screenHeight = 1040 num windows = 2
2022-01-20 10:02:45,150 [1] INFO  SapientMiddleware.Program Window ID:0 x:0 y:0 windowX:0 windowY:0
2022-01-20 10:02:46,899 [1] INFO  SapientDatabase.DatabaseCreator Database middleware_log Exists
2022-01-20 10:02:47,352 [1] INFO  SapientDatabase.MiddlewareLogDatabase Created table connections
2022-01-20 10:02:47,352 [1] INFO  SapientDatabase.MiddlewareLogDatabase Created table message_count
2022-01-20 10:02:47,618 [1] INFO  SapientDatabase.DatabaseCreator Database sapientV3 Exists
2022-01-20 10:02:47,618 [1] INFO  SapientMiddleware.Program HLDMM:12002
2022-01-20 10:02:47,618 [1] INFO  SapientDatabase.DatabaseCreator Database sapientV3 Exists
2022-01-20 10:02:48,493 [14000 Listener] INFO  SapientServices.Communication.SapientServer Waiting for a connection...
2022-01-20 10:02:48,493 [12002 Listener] INFO  SapientServices.Communication.SapientServer Waiting for a connection...
2022-01-20 10:02:48,493 [12003 Listener] INFO  SapientServices.Communication.SapientServer Waiting for a connection...
2022-01-20 10:02:48,524 [12002 Listener] INFO  SapientServices.Communication.SapientServer Connection 1 Connected
2022-01-20 10:02:48,524 [12002 Listener] INFO  SapientServices.Communication.SapientServer Waiting for a connection...
2022-01-20 10:02:49,758 [14000 Listener] INFO  SapientServices.Communication.SapientServer Connection 1 Connected
2022-01-20 10:02:49,758 [14000 Listener] INFO  SapientMiddleware.Program Client Socket ID 1 Connected, 1 connections
2022-01-20 10:02:49,758 [14000 Listener] INFO  SapientServices.Communication.SapientServer Waiting for a connection...
2022-01-20 10:02:53,523 [7] INFO  SapientDatabase.MiddlewareLogDatabase Log Database Latency, 0
2022-01-20 10:02:58,537 [13] INFO  SapientDatabase.MiddlewareLogDatabase Log Database Latency, 0
2022-01-20 10:03:03,552 [13] INFO  SapientDatabase.MiddlewareLogDatabase Log Database Latency, 0
2022-01-20 10:03:08,566 [13] INFO  SapientDatabase.MiddlewareLogDatabase Log Database Latency, 0
2022-01-20 10:03:08,972 [Server Receive Thread] INFO  SapientMiddleware.SapientMessageParser SensorRegistration found at index 19:24
2022-01-20 10:03:08,972 [Server Receive Thread] INFO  SapientMiddleware.SapientMessageParser Null Terminator found
2022-01-20 10:03:08,972 [Server Receive Thread] INFO  SapientMiddleware.SapientMessageParser SensorRegistration received
2022-01-20 10:03:08,972 [Server Receive Thread] INFO  SapientMiddleware.HldmmDataAgentClientProtocol Sensor Registration Message Received
2022-01-20 10:03:09,191 [Server Receive Thread] INFO  SapientMiddleware.SapientProtocol Sensor Registration Ack Forwarded
